Website,Brand,"Tyre Pattern","Tyre Size","Price (Â£)",Rating
www.oponeo.co.uk,Kumho,"Ecsta HS52","205/55 R16 91 V",56,4.5
www.oponeo.co.uk,Goodyear,"Vector 4Seasons Gen-3","205/55 R16 94 V XL, OP PE",90,4.7
www.oponeo.co.uk,"Nokian Tyres","Snowproof 2","205/55 R16 91 T",95,4.8
www.oponeo.co.uk,Uniroyal,"RainSport 5","205/55 R16 91 V",63,4.7
www.oponeo.co.uk,Kumho,"Solus 4S HA32","205/55 R16 91 H",66,4.6
www.oponeo.co.uk,Continental,"WinterContact TS 860 S","205/55 R16 91 H RUN ON FLAT , *",124,4.8
www.oponeo.co.uk,Imperial,"Ecodriver 5","205/55 R16 91 W",49,4.8
www.oponeo.co.uk,Imperial,"All Season Driver","205/55 R16 91 V",55,4.5
www.oponeo.co.uk,Continental,"AllSeasonContact 2","205/55 R16 91 V",82,4.9
www.oponeo.co.uk,Continental,"PremiumContact 7","205/55 R16 91 V",84,5
www.oponeo.co.uk,Radar,RPX800,"205/55 R16 94 W XL",43,4.2
www.oponeo.co.uk,Accelera,PHI,"205/55 R16 94 W XL, ZR",46,3.8
www.oponeo.co.uk,Kumho,"Ecowing ES31","205/55 R16 91 V",52,4.5
www.oponeo.co.uk,Imperial,"All Season Driver","205/55 R16 91 H",53,4.5
www.oponeo.co.uk,Imperial,"Ecodriver 5","205/55 R16 91 V",54,4.8
www.oponeo.co.uk,Imperial,"Ecodriver 5","205/55 R16 91 H",54,4.8
www.oponeo.co.uk,Yokohama,"BluEarth-Es ES32","205/55 R16 91 V",54,4.7
www.oponeo.co.uk,Imperial,"Ecodriver 5","205/55 R16 94 V XL",55,4.8
www.oponeo.co.uk,Imperial,"All Season Driver","205/55 R16 94 V XL",55,4.5
www.oponeo.co.uk,Radar,"Dimax RP-4S","205/55 R16 94 V XL",55,4.5
